Project_ID,Country,Year,Technology,Installed_Capacity_MW,Capacity_Factor_Percent,Annual_Generation_MWh,Capital_Cost_USD_per_kW,Estimated_Project_Cost_Million_USD,Lifecycle_Emissions_kgCO2e_per_MWh,Estimated_CO2_Avoided_tons_per_year,Estimated_Jobs,Grid_Connected,Storage_Included,Project_Status
RE-01105,China,2025,Onshore Wind,1006.41,34.58,3048625.22,1455.96,1465.29,11.95,1487806.23,2988,Yes,Yes,Operational
RE-01106,South Africa,2026,Solar PV,286.12,15.62,391501.43,1274.56,364.68,35.73,115852.21,118,Yes,No,Operational
RE-01107,South Korea,2023,Biomass,1286.41,59.78,6736579.27,2709.95,3486.11,47.46,2649808.88,1622,Yes,No,Construction
RE-01108,Japan,2010,Biomass,452.51,61.9,2453708.32,4441.82,2009.97,62.21,1436729.77,1285,Yes,Yes,Operational
RE-01109,Italy,2018,Solar PV,766.88,26.37,1771502.0,1338.85,1026.74,56.48,1302816.21,2316,Yes,No,Operational
RE-01110,Brazil,2013,Solar PV,874.83,19.59,1501281.77,1005.03,879.23,53.36,692040.72,2010,Yes,No,Operational
RE-01111,Canada,2020,Solar CSP,502.6,34.41,1514995.22,2937.09,1476.18,44.82,963569.75,955,Yes,No,Construction
RE-01112,India,2023,Onshore Wind,1333.61,35.49,4146092.14,1970.38,2627.72,12.74,2359329.75,2813,Yes,Yes,Operational
RE-01113,South Korea,2015,Offshore Wind,1418.15,46.66,5796569.0,4148.1,5882.63,14.87,2758651.77,4997,Yes,No,Operational
RE-01114,Argentina,2016,Biogas,894.48,72.96,5716886.45,2086.49,1866.32,73.51,2000806.08,1204,Yes,No,Construction
RE-01115,United States,2019,Biogas,1229.8,78.45,8451456.16,2535.6,3118.28,75.79,2984389.91,2719,Yes,No,Operational
RE-01116,Spain,2015,Solar PV,977.85,23.83,2041269.7,748.92,732.33,23.81,868923.85,3357,Yes,Yes,Construction
RE-01117,China,2019,Solar CSP,1475.15,22.08,2853246.93,4143.64,6112.49,32.78,1152238.94,839,Yes,No,Construction
RE-01118,Brazil,2011,Solar PV,1287.1,20.03,2258381.7,1567.93,2018.08,24.73,1509112.42,4723,Yes,No,Operational
RE-01119,South Africa,2022,Solar CSP,869.44,29.34,2234620.78,5479.34,4763.96,23.71,1020265.3,3173,Yes,Yes,Construction
RE-01120,South Korea,2010,Onshore Wind,172.55,39.3,594034.43,1837.47,317.06,15.69,347823.9,665,Yes,Yes,Operational
RE-01121,United States,2017,Geothermal,711.16,71.73,4468608.0,2763.32,1965.16,52.41,1269735.86,1795,Yes,Yes,Operational
RE-01122,Italy,2013,Biomass,513.05,76.42,3434557.82,2411.27,1237.1,37.17,861337.39,843,Yes,No,Operational
RE-01123,Canada,2019,Solar PV,867.14,25.19,1913469.28,1274.86,1105.48,20.33,1082887.44,1353,Yes,No,Construction
RE-01124,Sweden,2026,Biomass,264.75,77.08,1787647.07,3789.84,1003.36,76.6,751138.63,264,Yes,No,Operational
RE-01125,China,2021,Biomass,1110.4,77.25,7514187.84,3618.55,4018.04,86.92,3826307.02,1234,No,No,Planned
RE-01126,South Africa,2011,Biomass,729.81,78.9,5044183.99,3538.23,2582.24,55.17,1379809.91,1483,Yes,Yes,Planned
RE-01127,United States,2021,Offshore Wind,1043.62,41.57,3800375.63,4539.18,4737.18,11.09,1418643.22,755,Yes,No,Operational
RE-01128,Argentina,2018,Solar CSP,1291.81,31.55,3570278.64,5269.33,6806.97,34.05,920752.72,4764,Yes,No,Operational
RE-01129,United Kingdom,2017,Offshore Wind,723.78,52.69,3340710.81,4698.62,3400.77,10.99,932354.92,618,Yes,No,Operational
RE-01130,United Kingdom,2017,Onshore Wind,335.3,37.55,1102929.11,1902.21,637.81,13.92,800647.48,1335,Yes,No,Operational
RE-01131,Italy,2019,Geothermal,527.86,89.61,4143614.43,2852.96,1505.96,23.67,1116070.26,1368,Yes,No,Operational
RE-01132,China,2025,Geothermal,59.3,71.21,369913.16,4556.79,270.22,38.67,246193.86,150,No,Yes,Operational
RE-01133,Italy,2026,Biomass,162.18,81.26,1154458.22,1831.24,296.99,76.35,377162.85,414,Yes,Yes,Operational
RE-01134,Argentina,2021,Biomass,575.45,86.41,4355877.98,2073.26,1193.06,70.98,2084486.62,810,Yes,No,Operational
RE-01135,Germany,2023,Biogas,608.2,71.23,3795014.73,3744.61,2277.47,80.34,2694504.85,832,Yes,No,Construction
RE-01136,South Africa,2024,Biogas,662.9,75.95,4410419.54,3277.15,2172.42,72.59,2759742.44,720,Yes,No,Construction
RE-01137,Germany,2022,Hydroelectric,1250.22,57.6,6308310.07,3707.31,4634.95,8.34,3581401.92,4492,Yes,No,Operational
RE-01138,India,2022,Geothermal,810.4,81.37,5776540.92,3111.49,2521.55,24.84,1978385.22,2166,Yes,No,Operational
RE-01139,Poland,2017,Hydroelectric,1282.54,45.51,5113071.44,2065.06,2648.52,34.76,3438498.59,3560,Yes,No,Operational
RE-01140,Spain,2010,Biomass,267.8,79.87,1873692.69,2464.02,659.86,56.52,570747.73,801,Yes,No,Operational
RE-01141,South Africa,2023,Biomass,340.5,86.05,2566682.19,2667.62,908.32,43.83,950064.13,226,Yes,No,Operational
RE-01142,Chile,2013,Offshore Wind,677.45,39.51,2344705.94,3461.3,2344.86,13.11,713144.03,731,No,No,Planned
RE-01143,Germany,2014,Geothermal,1285.66,79.06,8904038.89,2747.94,3532.92,47.19,2491573.27,2388,Yes,No,Operational
RE-01144,Canada,2025,Biomass,1486.47,60.77,7913151.69,2489.33,3700.31,55.05,5570626.96,4681,Yes,No,Operational
RE-01145,Australia,2025,Biomass,91.58,67.91,544801.73,1945.81,178.2,119.91,385280.92,229,Yes,No,Operational
RE-01146,United States,2023,Solar CSP,984.73,33.5,2889788.66,5212.93,5133.33,29.31,1220515.19,2207,Yes,No,Planned
RE-01147,United Kingdom,2012,Solar CSP,478.26,39.09,1637698.07,4016.6,1920.98,30.96,1000967.77,1186,Yes,No,Operational
RE-01148,Mexico,2020,Solar PV,1053.26,23.67,2183926.18,1044.27,1099.89,41.57,1314001.3,2334,Yes,Yes,Operational
RE-01149,United States,2025,Biogas,837.11,62.54,4586110.48,3780.89,3165.02,50.26,2314028.63,685,Yes,No,Operational
RE-01150,France,2013,Geothermal,253.34,94.11,2088544.08,2527.09,640.21,40.96,1258616.6,245,Yes,Yes,Operational
RE-01151,Chile,2026,Biogas,645.4,84.65,4785860.44,1902.94,1228.16,50.51,3354804.34,2295,Yes,No,Construction
RE-01152,Norway,2012,Onshore Wind,229.71,26.68,536870.86,1899.01,436.22,13.5,198115.19,333,Yes,No,Operational
RE-01153,France,2016,Hydroelectric,174.48,60.3,921652.21,3749.29,654.18,8.53,425745.44,331,Yes,No,Construction
RE-01154,Mexico,2010,Hydroelectric,458.08,30.61,1228312.2,3254.85,1490.98,17.31,758069.41,458,Yes,Yes,Operational
RE-01155,France,2022,Onshore Wind,108.25,32.88,311791.18,1608.72,174.14,16.3,109006.0,412,Yes,Yes,Construction
RE-01156,Canada,2024,Biogas,1307.05,68.06,7792705.29,2023.45,2644.75,46.28,5068152.43,4617,Yes,No,Construction
RE-01157,Poland,2024,Solar PV,1147.51,20.15,2025515.8,1277.73,1466.21,54.29,660075.73,2062,Yes,No,Operational
RE-01158,Italy,2013,Solar PV,55.84,28.36,138725.32,1438.0,80.3,40.98,83636.59,43,Yes,No,Operational
RE-01159,Mexico,2026,Solar PV,34.77,24.06,73283.2,854.58,29.71,48.77,20900.6,24,No,Yes,Operational
RE-01160,Italy,2012,Offshore Wind,1263.34,41.64,4608239.84,4853.29,6131.36,24.16,1918377.55,2503,Yes,Yes,Operational
RE-01161,Spain,2015,Solar CSP,1214.49,40.47,4305575.94,4393.3,5335.62,33.71,1915989.09,540,Yes,Yes,Construction
RE-01162,Mexico,2014,Solar CSP,129.37,28.42,322078.52,3247.07,420.07,19.38,104051.95,171,Yes,No,Planned
RE-01163,Spain,2022,Onshore Wind,942.69,45.88,3788754.07,1775.66,1673.9,15.23,1726953.04,1488,Yes,No,Operational
RE-01164,Sweden,2011,Onshore Wind,1296.83,36.44,4139668.1,1191.26,1544.86,12.57,1745339.13,5119,Yes,No,Operational
RE-01165,Norway,2022,Solar CSP,1084.13,21.46,2038051.65,3167.82,3434.33,15.39,1029019.82,3851,Yes,No,Operational
RE-01166,Canada,2021,Hydroelectric,1376.04,61.6,7425332.01,3985.51,5484.22,11.63,5456742.93,4341,Yes,Yes,Operational
RE-01167,Italy,2023,Biomass,1290.53,73.53,8312597.97,3211.54,4144.59,94.3,4273709.63,2456,Yes,No,Operational
RE-01168,Canada,2013,Solar PV,1357.06,25.26,3002869.8,703.79,955.09,32.48,1896790.43,2582,Yes,No,Operational
RE-01169,Spain,2022,Offshore Wind,155.41,46.67,635361.46,3428.84,532.88,8.79,204346.19,548,Yes,Yes,Construction
RE-01170,France,2016,Solar CSP,1415.51,34.62,4292834.16,4094.17,5795.34,34.7,1159978.27,5410,No,Yes,Construction
RE-01171,Poland,2013,Solar CSP,821.66,36.96,2660285.3,5319.47,4370.8,25.18,1587532.25,2447,Yes,No,Construction
RE-01172,South Africa,2018,Solar CSP,61.31,24.45,131314.98,2935.24,179.96,19.63,62653.57,218,Yes,No,Operational
RE-01173,United States,2015,Biogas,1251.52,72.94,7996642.11,2442.15,3056.4,84.42,3992369.81,1348,Yes,No,Planned
RE-01174,Italy,2022,Offshore Wind,702.18,54.75,3367725.5,4512.8,3168.8,15.04,1016575.55,1197,Yes,Yes,Operational
RE-01175,Mexico,2012,Biomass,336.31,73.52,2165954.78,2526.26,849.61,89.37,1289298.81,499,Yes,Yes,Operational
RE-01176,India,2022,Solar PV,930.87,21.17,1726290.97,1551.27,1444.03,24.07,1191142.07,3053,Yes,Yes,Operational
RE-01177,Sweden,2025,Geothermal,351.32,91.85,2826741.8,4112.52,1444.81,33.47,1582284.65,412,No,Yes,Planned
RE-01178,South Africa,2015,Offshore Wind,78.81,47.22,325995.36,3435.73,270.77,18.57,242792.0,285,No,Yes,Operational
RE-01179,Brazil,2013,Hydroelectric,1349.24,36.69,4336516.73,2292.67,3093.36,4.38,1478639.15,1461,Yes,No,Operational
RE-01180,China,2011,Solar PV,633.82,26.41,1466352.71,990.71,627.93,42.59,646376.0,681,Yes,No,Construction
RE-01181,Italy,2016,Hydroelectric,778.55,56.73,3869041.6,1974.39,1537.16,6.23,1695071.12,937,Yes,No,Construction
RE-01182,China,2010,Onshore Wind,976.13,34.12,2917566.67,2315.41,2260.14,16.44,1499164.28,1117,Yes,No,Construction
RE-01183,South Korea,2023,Solar PV,1372.66,29.18,3508749.57,1267.17,1739.39,58.64,2476163.87,561,Yes,Yes,Operational
RE-01184,Spain,2026,Geothermal,17.29,75.89,114943.3,2310.66,39.95,41.02,79844.65,69,Yes,Yes,Planned
RE-01185,South Korea,2011,Solar PV,1461.38,25.44,3256749.63,1153.54,1685.76,23.87,843817.21,3449,Yes,No,Operational
RE-01186,Chile,2023,Offshore Wind,721.15,38.75,2447943.67,5267.95,3798.98,18.3,1603490.46,1455,Yes,No,Construction
RE-01187,Canada,2022,Offshore Wind,792.6,55.15,3829161.56,3642.8,2887.28,14.83,2481741.97,696,Yes,Yes,Operational
RE-01188,Japan,2020,Biomass,1168.14,64.51,6601247.92,2114.18,2469.66,56.01,2353304.07,3549,Yes,Yes,Operational
RE-01189,South Africa,2020,Hydroelectric,1033.78,52.87,4787861.1,3619.52,3741.79,33.95,2328668.44,3614,Yes,No,Operational
RE-01190,Sweden,2025,Geothermal,271.16,80.94,1922617.68,5546.21,1503.91,23.62,480774.49,359,Yes,No,Construction
RE-01191,Brazil,2025,Solar PV,683.89,20.25,1213152.47,908.28,621.16,28.72,749794.89,471,Yes,No,Operational
RE-01192,India,2020,Solar CSP,760.52,38.8,2584916.22,4547.3,3458.31,15.13,912138.21,1010,Yes,No,Construction
RE-01193,Sweden,2018,Biogas,491.75,53.63,2310235.6,2086.29,1025.93,51.05,1214553.59,1858,Yes,Yes,Construction
RE-01194,United States,2017,Solar CSP,984.22,23.59,2033874.88,3040.97,2992.98,31.77,890238.78,2063,Yes,No,Operational
RE-01195,United Kingdom,2019,Solar PV,1281.68,24.63,2765337.39,990.5,1269.5,42.1,806083.58,3030,Yes,No,Operational
RE-01196,Canada,2016,Offshore Wind,586.44,47.29,2429388.69,4194.17,2459.63,18.69,1221558.92,2211,Yes,Yes,Operational
RE-01197,Italy,2020,Geothermal,384.78,76.72,2585980.17,3490.38,1343.03,44.85,1862077.99,639,Yes,No,Retired
RE-01198,Spain,2026,Solar CSP,1019.25,40.1,3580380.63,4387.18,4471.63,22.48,1982474.83,1882,Yes,No,Operational
RE-01199,France,2017,Solar PV,240.64,16.86,355409.88,1243.14,299.15,50.04,201954.53,381,Yes,No,Planned
RE-01200,Norway,2010,Solar PV,1307.02,26.53,3037551.08,1029.29,1345.3,45.29,1894348.27,5025,Yes,No,Operational
RE-01201,France,2022,Onshore Wind,1368.08,46.14,5529593.3,1304.21,1784.26,9.65,3469624.74,3655,Yes,No,Construction
RE-01202,Brazil,2025,Biogas,190.62,74.6,1245694.08,1980.31,377.49,76.63,658408.52,403,Yes,No,Construction
RE-01203,Japan,2023,Biomass,1153.3,74.27,7503429.77,4337.19,5002.08,84.62,3826920.21,1597,Yes,Yes,Construction
RE-01204,South Africa,2023,Onshore Wind,659.52,27.24,1573762.45,1966.51,1296.95,7.12,1012718.91,1511,Yes,No,Operational
RE-01205,South Africa,2015,Hydroelectric,422.98,44.54,1650342.76,4663.71,1972.66,8.2,680572.14,462,Yes,No,Operational
RE-01206,Sweden,2016,Offshore Wind,402.3,45.86,1616174.27,3539.96,1424.13,20.41,1170333.19,482,No,Yes,Operational
RE-01207,China,2021,Solar PV,299.7,21.12,554478.57,761.04,228.08,47.88,254122.0,1081,No,Yes,Operational
RE-01208,United Kingdom,2026,Onshore Wind,273.49,27.16,650691.78,1952.34,533.95,10.03,349035.76,1073,Yes,Yes,Operational
RE-01209,Australia,2012,Solar PV,695.46,25.91,1578496.69,966.8,672.37,25.83,900348.28,1032,No,Yes,Operational
RE-01210,Japan,2011,Hydroelectric,1037.89,56.3,5118748.93,4272.22,4434.09,20.74,2651670.9,3101,Yes,No,Operational
RE-01211,South Korea,2024,Solar CSP,355.07,23.43,728769.81,3535.49,1255.35,22.61,423846.15,437,Yes,Yes,Operational
RE-01212,Italy,2010,Geothermal,1099.92,79.96,7704385.24,3084.76,3392.99,26.8,2292506.04,539,No,Yes,Operational
RE-01213,Norway,2024,Offshore Wind,995.59,45.03,3927232.19,5201.39,5178.45,23.89,1176946.94,1271,Yes,No,Operational
RE-01214,Australia,2012,Biomass,516.19,78.6,3554153.98,4183.41,2159.43,49.52,1253974.22,1286,Yes,Yes,Planned
RE-01215,Spain,2015,Biogas,609.93,61.9,3307308.83,3787.55,2310.14,33.5,1776478.74,569,Yes,Yes,Operational
RE-01216,Germany,2018,Biogas,608.72,78.61,4191789.58,2954.88,1798.69,52.82,2555827.7,1246,Yes,Yes,Operational
RE-01217,China,2020,Onshore Wind,203.13,37.65,669951.18,1450.49,294.64,16.04,176955.11,424,Yes,Yes,Operational
RE-01218,China,2020,Solar PV,151.23,25.76,341261.99,1225.78,185.37,40.18,187605.92,243,Yes,No,Planned
RE-01219,India,2014,Solar PV,981.21,16.37,1407066.91,1145.88,1124.35,20.11,487961.49,2623,Yes,No,Construction
RE-01220,Australia,2014,Biomass,983.06,58.4,5029177.67,2196.21,2159.01,89.04,1799489.25,3678,No,No,Operational
RE-01221,China,2022,Hydroelectric,994.86,31.25,2723429.25,2649.81,2636.19,10.41,1185792.81,3811,Yes,No,Operational
RE-01222,Argentina,2022,Biomass,98.44,76.21,657185.05,3573.69,351.79,106.27,450681.67,96,Yes,Yes,Operational
RE-01223,India,2018,Geothermal,75.16,73.92,486690.46,3230.24,242.78,20.1,348980.49,108,No,No,Operational
RE-01224,Australia,2018,Hydroelectric,334.52,36.28,1063147.38,3513.17,1175.23,17.25,689443.67,184,Yes,No,Retired
RE-01225,Brazil,2012,Biogas,370.12,82.64,2679396.39,3113.51,1152.37,27.47,773466.72,1194,Yes,No,Operational
RE-01226,Brazil,2013,Hydroelectric,921.1,60.88,4912307.36,2648.8,2439.81,25.12,1602343.16,938,Yes,Yes,Operational
RE-01227,Spain,2023,Biogas,544.4,63.88,3046401.43,3519.66,1916.1,36.7,1752178.82,832,Yes,Yes,Planned
RE-01228,Australia,2020,Solar PV,1273.73,19.16,2137848.81,912.92,1162.81,55.71,1018628.29,3754,Yes,Yes,Operational
RE-01229,United States,2020,Solar CSP,885.7,25.94,2012615.08,4254.12,3767.87,38.71,855372.46,1126,Yes,No,Operational
RE-01230,South Korea,2011,Geothermal,1147.88,87.55,8803527.91,3389.6,3890.85,15.89,4434999.45,1640,Yes,No,Operational
RE-01231,Italy,2025,Solar CSP,756.21,38.44,2546419.21,3350.76,2533.88,34.02,1345258.49,2818,Yes,No,Operational
RE-01232,Norway,2025,Solar CSP,91.79,21.69,174405.04,4291.45,393.91,31.54,93570.59,193,Yes,No,Operational
RE-01233,Canada,2015,Onshore Wind,485.25,42.56,1809136.22,1552.42,753.31,15.8,855619.72,1255,Yes,No,Operational
RE-01234,Italy,2023,Biomass,394.36,82.84,2861785.34,2849.93,1123.9,45.97,1058814.11,916,Yes,Yes,Operational
RE-01235,South Korea,2016,Offshore Wind,1451.66,54.44,6922885.25,3353.77,4868.53,18.43,4471713.82,4594,Yes,No,Operational
RE-01236,Canada,2016,Offshore Wind,554.88,36.42,1770284.71,4261.55,2364.65,22.09,1189891.69,290,Yes,No,Operational
RE-01237,United Kingdom,2012,Solar CSP,1208.49,24.76,2621185.81,2734.45,3304.56,37.49,1452302.04,2199,Yes,Yes,Construction
RE-01238,Chile,2022,Geothermal,711.73,80.6,5025212.37,3681.92,2620.53,22.61,3273046.29,1257,Yes,No,Planned
RE-01239,Spain,2019,Geothermal,579.05,87.6,4443490.73,5189.29,3004.86,34.31,2056048.55,1435,Yes,No,Operational
RE-01240,Spain,2023,Hydroelectric,908.37,64.54,5135655.1,2634.2,2392.83,11.19,1738129.77,2617,Yes,No,Operational
RE-01241,Mexico,2025,Solar CSP,665.32,33.37,1944871.41,2837.59,1887.91,18.24,551715.81,1145,Yes,Yes,Operational
RE-01242,Germany,2015,Offshore Wind,179.64,37.95,597198.81,2816.67,505.99,19.84,427380.48,473,Yes,No,Retired
RE-01243,Sweden,2017,Hydroelectric,162.7,55.23,787166.68,4876.7,793.44,28.14,442467.51,422,Yes,Yes,Planned
RE-01244,Mexico,2013,Biogas,575.56,59.85,3017580.5,2184.27,1257.18,26.67,1608749.51,1061,Yes,Yes,Planned
RE-01245,Brazil,2020,Onshore Wind,1441.85,33.05,4174415.28,1102.98,1590.33,17.16,2770515.29,881,Yes,Yes,Operational
RE-01246,Chile,2026,Geothermal,25.66,91.67,206057.29,4068.44,104.4,46.27,125993.01,102,Yes,No,Operational
RE-01247,Poland,2020,Biomass,729.68,79.05,5052873.47,2762.58,2015.8,46.12,3442106.98,2467,Yes,No,Construction
RE-01248,Germany,2018,Onshore Wind,803.92,26.33,1854247.91,1327.38,1067.11,17.16,817320.48,423,Yes,No,Construction
RE-01249,United Kingdom,2016,Solar CSP,1118.03,38.88,3807884.96,3523.41,3939.28,39.01,1193544.73,2118,Yes,Yes,Operational
RE-01250,Japan,2018,Solar PV,815.97,29.16,2084326.82,1184.2,966.27,45.15,713344.14,1914,Yes,No,Planned
RE-01251,Mexico,2013,Biogas,930.58,72.34,5897070.57,2950.08,2745.29,33.08,3402654.89,3049,Yes,Yes,Planned
RE-01252,Mexico,2010,Onshore Wind,313.36,31.87,874842.21,2173.53,681.1,16.11,221778.82,332,Yes,No,Operational
RE-01253,Chile,2026,Offshore Wind,227.7,46.74,932300.34,3718.77,846.76,20.54,595146.09,416,Yes,No,Operational
RE-01254,France,2017,Geothermal,1330.43,70.86,8258426.03,2286.68,3042.27,23.23,5482032.57,1265,Yes,No,Operational
RE-01255,Italy,2015,Hydroelectric,700.9,37.98,2331927.94,4975.72,3487.48,9.07,1573978.03,1466,Yes,No,Operational
RE-01256,Chile,2014,Solar CSP,1438.45,30.19,3804188.16,5286.43,7604.27,19.92,1300016.76,3661,Yes,Yes,Operational
RE-01257,Japan,2011,Hydroelectric,1130.0,39.88,3947641.44,4930.94,5571.96,9.68,1686524.5,1977,Yes,No,Operational
RE-01258,France,2015,Hydroelectric,1242.08,30.01,3265274.3,3507.65,4356.78,12.04,1490219.84,2376,Yes,No,Operational
RE-01259,South Korea,2025,Geothermal,1090.39,78.78,7524920.96,4075.54,4443.93,30.59,4998708.22,1172,Yes,No,Operational
RE-01260,Poland,2021,Biogas,1001.85,72.93,6400487.04,2113.95,2117.86,62.86,2735012.73,2698,Yes,Yes,Construction
RE-01261,Germany,2017,Biomass,827.61,77.2,5596894.7,3562.75,2948.57,98.66,1977807.5,659,Yes,Yes,Operational
RE-01262,United Kingdom,2015,Geothermal,1487.69,73.93,9634679.14,3334.44,4960.61,51.83,7049251.84,1820,Yes,Yes,Construction
RE-01263,Brazil,2010,Hydroelectric,610.52,38.66,2067596.8,4052.83,2474.33,4.5,997513.84,1775,Yes,No,Operational
RE-01264,Chile,2024,Solar PV,509.02,17.17,765612.91,1159.52,590.22,45.32,357323.07,986,Yes,Yes,Construction
RE-01265,United Kingdom,2025,Geothermal,333.05,85.5,2494477.89,5802.29,1932.45,36.19,1842044.36,504,Yes,Yes,Retired
RE-01266,Chile,2015,Hydroelectric,1459.68,52.86,6759100.79,4692.59,6849.68,33.98,3608782.62,5837,Yes,No,Construction
RE-01267,Japan,2013,Onshore Wind,17.54,30.91,47493.34,1665.46,29.21,9.96,24079.98,48,Yes,No,Planned
RE-01268,Norway,2013,Geothermal,309.44,93.59,2536938.89,2864.47,886.38,21.06,1037061.71,762,Yes,Yes,Planned
RE-01269,South Korea,2012,Offshore Wind,445.43,42.41,1654824.12,4030.05,1795.11,20.93,447583.89,493,Yes,No,Construction
RE-01270,Poland,2012,Solar PV,1362.19,18.08,2157447.42,759.82,1035.02,40.4,820206.17,2756,Yes,Yes,Operational
RE-01271,Mexico,2016,Offshore Wind,170.48,54.93,820327.26,5394.71,919.69,8.7,252573.2,127,Yes,Yes,Planned
RE-01272,Japan,2020,Solar PV,1174.94,23.84,2453725.9,1351.14,1587.51,49.54,1704496.49,3567,Yes,No,Operational
RE-01273,France,2013,Onshore Wind,127.73,34.64,387592.09,1219.19,155.73,9.2,101518.12,189,Yes,Yes,Operational
RE-01274,United Kingdom,2015,Biogas,1011.14,72.21,6396063.14,1665.62,1684.18,58.24,1714783.53,2870,No,No,Operational
RE-01275,United Kingdom,2022,Biogas,1189.81,80.25,8364245.32,2223.04,2645.0,54.3,3017420.02,580,Yes,Yes,Planned
RE-01276,Spain,2026,Geothermal,1491.99,89.83,11740630.44,5503.0,8210.42,45.93,3556970.16,946,Yes,Yes,Operational
RE-01277,United States,2020,Solar PV,318.64,17.6,491266.41,1119.62,356.76,34.44,289006.05,213,Yes,No,Operational
RE-01278,Brazil,2016,Offshore Wind,1206.03,40.41,4269244.89,5527.14,6665.9,12.64,1569006.21,1781,Yes,No,Operational
RE-01279,United States,2019,Onshore Wind,579.08,43.17,2189902.2,2387.58,1382.6,13.85,1042118.5,946,Yes,Yes,Planned
RE-01280,South Africa,2018,Biogas,654.15,62.19,3563707.15,3233.05,2114.9,78.88,1779238.05,1040,Yes,Yes,Operational
RE-01281,Australia,2023,Solar CSP,158.33,28.76,398892.8,5004.83,792.41,27.12,158512.38,603,Yes,Yes,Operational
RE-01282,Norway,2019,Solar CSP,555.69,31.76,1546027.38,3112.0,1729.31,32.07,490522.58,1814,Yes,No,Operational
RE-01283,Italy,2018,Solar CSP,845.79,25.84,1914516.71,4532.77,3833.77,17.3,678398.54,2584,Yes,No,Construction
RE-01284,Canada,2021,Solar CSP,190.76,29.81,498142.27,4278.38,816.14,28.61,285702.03,595,No,Yes,Operational
RE-01285,United States,2014,Biomass,223.1,68.01,1329157.52,4155.93,927.19,64.5,431193.79,508,Yes,No,Planned
RE-01286,France,2026,Biogas,929.71,65.13,5304356.28,2229.58,2072.86,52.7,1578815.49,2738,Yes,Yes,Operational
RE-01287,France,2013,Biogas,192.06,73.23,1232054.91,1921.86,369.11,75.83,475421.99,642,Yes,No,Operational
RE-01288,Chile,2021,Onshore Wind,1275.76,32.82,3667850.82,1233.61,1573.79,12.41,1969565.77,3311,Yes,No,Operational
RE-01289,Spain,2014,Biogas,152.16,75.76,1009821.4,1854.26,282.14,64.38,553860.48,491,Yes,No,Operational
RE-01290,Spain,2010,Solar PV,1121.77,28.44,2794714.96,936.71,1050.77,56.06,850563.99,4396,Yes,Yes,Operational
RE-01291,Canada,2023,Geothermal,1476.36,77.42,10012661.71,3437.33,5074.74,26.16,3278286.12,4775,No,No,Operational
RE-01292,Italy,2016,Solar PV,1489.28,27.64,3605940.05,1343.62,2001.03,20.9,1024767.5,4852,Yes,No,Construction
RE-01293,Brazil,2017,Onshore Wind,215.93,33.89,641045.21,2232.36,482.03,11.3,180341.87,831,Yes,No,Operational
RE-01294,South Africa,2010,Geothermal,1286.5,77.01,8678826.77,3609.98,4644.24,26.03,5030859.17,3475,Yes,No,Operational
RE-01295,Poland,2023,Solar CSP,987.48,31.4,2716201.99,2626.29,2593.41,34.72,1551759.52,838,Yes,Yes,Planned
RE-01296,United Kingdom,2017,Biomass,933.15,75.39,6162675.64,1942.58,1812.72,70.94,2227125.5,1043,Yes,Yes,Planned
RE-01297,Brazil,2016,Biogas,448.91,82.2,3232475.22,2768.01,1242.59,64.93,1932778.96,1587,Yes,No,Operational
RE-01298,India,2026,Solar CSP,916.99,32.16,2583358.9,4857.48,4454.26,44.77,706401.18,2395,Yes,Yes,Planned
RE-01299,United States,2017,Hydroelectric,247.55,59.9,1298954.26,4817.36,1192.54,7.08,812938.1,290,Yes,No,Operational
RE-01300,Mexico,2011,Solar PV,1108.83,20.5,1991236.91,833.64,924.37,29.2,1288929.57,2931,Yes,Yes,Operational
RE-01301,United Kingdom,2023,Hydroelectric,399.42,35.92,1256811.78,3021.71,1206.93,14.33,430755.13,1531,Yes,Yes,Operational
RE-01302,Poland,2010,Offshore Wind,1397.96,44.48,5447078.45,5693.63,7959.47,13.17,2938536.38,5224,Yes,No,Planned
RE-01303,Chile,2025,Onshore Wind,313.2,29.5,809371.44,1815.62,568.65,19.94,400700.51,498,Yes,Yes,Operational
RE-01304,United States,2012,Hydroelectric,1083.6,41.39,3928877.87,2339.32,2534.89,19.88,1617606.25,1966,Yes,Yes,Construction
RE-01305,Canada,2011,Solar CSP,329.49,24.19,698203.81,3494.1,1151.27,19.81,295672.6,420,Yes,Yes,Operational
RE-01306,Italy,2020,Solar PV,185.79,26.37,429177.13,755.42,140.35,38.59,309828.62,180,Yes,No,Retired
RE-01307,Norway,2016,Hydroelectric,973.32,35.33,3012335.85,3852.47,3749.69,11.83,1676798.09,699,Yes,No,Construction
RE-01308,Japan,2011,Hydroelectric,1488.6,46.08,6008894.67,3945.9,5873.87,4.57,4221509.99,3895,Yes,No,Construction
RE-01309,Norway,2024,Offshore Wind,1212.05,46.74,4962646.61,4173.24,5058.18,24.07,2814315.71,2856,Yes,No,Operational
RE-01310,South Korea,2023,Hydroelectric,1289.71,45.48,5138266.55,2339.32,3017.04,21.88,2879329.2,2945,Yes,Yes,Operational
RE-01311,Australia,2024,Solar CSP,1409.18,29.37,3625555.21,3077.93,4337.36,27.61,1733317.12,3199,Yes,No,Construction
RE-01312,Sweden,2010,Onshore Wind,566.55,32.74,1624879.0,1557.0,882.12,19.37,727332.48,1462,Yes,No,Operational
